;;;;;;;;;;;;
Jihočeský kraj;123804;102833;6570;19924;45099;27630;337387;;;;;
Plzeňský kraj;105391;91606;5912;17090;40578;16338;289049;;;;;
Karlovarský kraj;49189;44887;2312;9206;20323;4723;137117;;;;;
Ústecký kraj ;130365;132895;5372;22616;60175;8365;374736;;;;;
Liberecký kraj;83647;63181;4304;20646;24823;9131;215510;;;;;
Královéhradecký kraj;111466;89204;9126;19819;34093;19893;295931;;;;;
Pardubický kraj;91113;90268;6641;17148;33956;24023;273921;;;;;
Vysočina ;76393;97568;5525;13514;40480;33587;275997;;;;;
Jihomoravský kraj;186779;200619;7343;37771;83687;67865;608804;;;;;
Olomoucký kraj;101151;118334;3821;18398;49026;27609;333849;;;;;
Zlínský kraj ;101376;106481;6390;16224;35998;41663;319933;;;;;
Moravskoslezský kraj;171565;247382;11967;26528;85201;43852;610200;;;;;
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
  ;;;;;;;;;;;;
2002;30.21%;2.78%;24.48%;18.51%;14.28%;2.37%;100.00%;;;;;
  ;3;21;22;23;25;28;Platné hlasy celkem;;;;;
  ;Česká str.sociálně demokrat.;Sdružení nezávislých;Občanská demokratická strana;Komunistická str.Čech a Moravy;Koalice KDU-ČSL, US-DEU;Strana zelených;;;;;;
  ;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;;;;;;
Celkem  ;1440279;132699;1166975;882653;680671;112929;4768006;;;;;
Hlavní město Praha;151628;12543;198431;65136;108316;14736;586459;;;;;
Středočeský kraj;169381;10362;144176;100312;63971;12697;537201;;;;;
Jihočeský kraj;88232;10242;75599;53098;35637;6029;290888;;;;;
Plzeňský kraj;78733;7450;66188;50893;30516;6051;259470;;;;;
Karlovarský kraj;35517;2144;29916;26626;10725;3988;121140;;;;;
Ústecký kraj ;97684;9074;81049;83951;26169;9061;334662;;;;;
Liberecký kraj;51260;6440;51920;32542;25096;5234;189441;;;;;
Královéhradecký kraj;73478;9252;71074;42928;38665;6088;267341;;;;;
Pardubický kraj;72270;7511;56177;42664;41209;5148;245335;;;;;
Vysočina  ;81471;8186;49098;50185;43123;5015;254808;;;;;
Jihomoravský kraj;164717;14720;115401;108819;95563;13531;550759;;;;;
Olomoucký kraj;95370;9489;60791;62804;41675;7654;298763;;;;;
Zlínský kraj ;82313;9566;60838;47134;55113;6748;283192;;;;;
Moravskoslezský kraj;198225;15720;106317;115561;64893;10949;548547;;;;;
  ;;;;;;;;;;;;
  ;9.00%;27.74%;32.31%;11.03%;3.90%;8.60%;3.06%;100.00%;;;;
Politické strany a hnutí;1;5;7;9;10;11;12;Platné hlasy celkem;;;;
1998;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická strana;Česká str.sociálně demokrat.;Komunistická str.Čech a Moravy;Sdruž.pro rep.-Republ.str.Čsl.;Unie svobody;Důchodci za životní jistoty;;;;;
  ;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;;;;;
Celkem  ;537013;1656011;1928660;658550;232965;513596;182900;5969505;;;;
kraj Praha ;44418;306396;169202;50451;15494;96564;12909;721832;;;;
Středočeský kraj;43455;200217;218674;77018;26034;52816;22531;668819;;;;
Jihočeský kraj;40895;117110;128583;47542;14113;35302;12027;413303;;;;
Západočeský kraj;33399;135864;160337;57451;20854;40988;19180;489839;;;;
Severočeský kraj;26251;166694;220318;79937;38768;49518;25179;634687;;;;
Východočeský kraj;86011;206396;222861;74440;27413;67491;24397;744252;;;;
Jihomoravský kraj;163062;277767;384358;149084;43054;102893;34883;1208143;;;;
Severomoravský kraj;99522;245567;424327;122627;47235;68024;31794;1088630;;;;
  ;;;;;;;;;;;;
  ;2.05%;26.44%;29.62%;2.80%;6.36%;8.08%;3.09%;10.33%;8.01%;;;
Politické strany a hnutí;1;2;3;7;8;10;11;15;17;Platné hlasy celkem;;
1996;Svobodní demokraté-LSNS;Česká str.sociál.demokratická;Občanská demokratická strana;Demokratická unie;Občanská demokratická aliance;Křesť.a dem.unie-Čs.str.lid.;Důchodci za životní jistoty;Komunistická str.Čech a Moravy;Sdruž.pro rep.-Republ.str.Čsl.;;;
  ;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;hlasy;;;
Celkem  ;124165;1602250;1794560;169796;385369;489349;187455;626136;485072;6059215;;
kraj Praha ;20973;131599;308913;30882;67623;37957;12637;52477;26231;704455;;
Středočeský kraj;13212;171168;210467;23657;39929;36377;27757;75620;54272;673796;;
Jihočeský kraj;8117;104066;122133;13623;25611;37593;15473;46559;32632;417093;;
Západočeský kraj;14017;128113;149080;15319;28553;25388;18911;56385;49156;498389;;
Severočeskýkraj14628;14628;184666;170138;17953;37808;21788;25461;74263;81291;642601;;
Východočeskýkraj18302;18302;187305;224254;20303;48696;81544;27268;72273;56471;755852;;
Jihomoravskýkraj21441;21441;308916;298715;24009;92845;160343;35140;138104;96147;1237644;;
Severomoravskýkraj13475;13475;386417;310860;24050;44304;88359;24808;110455;88872;1129385;;
